name;type
Harlan;Geregistreerde fok/aflevering in Nederland
Kweek chronobiologie;Eigen fok binnen uw organisatorische werkeenheid
Kweek gedragsbiologie;Eigen fok binnen uw organisatorische werkeenheid
Kweek dierfysiologie;Eigen fok binnen uw organisatorische werkeenheid
Wilde fauna;Niet-geregistreerde fok/afl in Nederland
Stuttgart (Uli Eisel);Van EU-lid-staten
Kweek moleculaire neurobiologie;Eigen fok binnen uw organisatorische werkeenheid
ErasmusMC;Geregistreerde fok/aflevering in Nederland
JacksonCharlesRiver;Andere herkomst
